Reference, Quantity, Value, Footprint, Datasheet, Hersteller, Manufacturer Number, Color
C1 ,1,"470uF","Capacitors_SMD:C_1206_HandSoldering",""
C2 ,1,"0.330uF","Capacitors_SMD:C_1206_HandSoldering",""
C3 ,1,"0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
D1 D2 D4 D5 D7 ,5,"CD1206-S01575","Diodes_SMD:D_1206",""
D3 D6 ,2,"LED","Diodes_SMD:D_1206","http://www.mouser.com/ds/2/216/APTD3216LCGCK-1100616.pdf","Kingbright","APTD3216LCGCK","Green"
J1 J2 J3 J4 J6 J7 ,6,"Screw_Terminal_1x02","Connectors:bornier2",""
J5 ,1,"Raspberry_Pi_2_3","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
Q1 Q2 Q3 ,3,"MMBT3904LT1G","TO_SOT_Packages_SMD:SOT-23",""
R1 R2 R4 ,3,"1k","Resistors_SMD:R_1206_HandSoldering",""
R3 ,1,"3kR","Resistors_SMD:R_1206_HandSoldering",""
R5 R8 ,2,"720R","Resistors_SMD:R_1206_HandSoldering",""
R6 R9 ,2,"680R","Resistors_SMD:R_1206_HandSoldering",""
R7 ,1,"1k5","Resistors_SMD:R_1206_HandSoldering",""
RL1 RL2 RL3 ,3,"FINDER-32.21-x300","Relays_THT:Relay_SPDT_Finder_32.21-x000",""
U1 ,1,"LM7808CT","TO_SOT_Packages_THT:TO-220_Vertical",""